instance type,instances running,sf,parallel queries,repetitions,average execution time,min execution time,max execution time,normalized average,cost overall,cost per query
serverless,0,1,1,10,1861.800000,1588.000000,3160.000000,1861.800000,0.000486,0.000049
serverless,0,10,1,10,2264.300000,1957.000000,3795.000000,2264.300000,0.004667,0.000467
serverless,0,100,1,10,3843.200000,2964.000000,4959.000000,3843.200000,0.044894,0.004489
c6i_large,1,1,1,10,1549.400000,1359.000000,1945.000000,1549.400000,0.000351,0.000035
c6i_large,5,10,1,10,3458.800000,2187.000000,8163.000000,3458.800000,0.002279,0.000228
c6i_large,50,100,1,10,3950.600000,3753.000000,4284.000000,3950.600000,0.021666,0.002167
c6in_large,1,1,1,10,1522.600000,1270.000000,2092.000000,1522.600000,0.000445,0.000044
c6in_large,5,10,1,10,2962.300000,2209.000000,7641.000000,2962.300000,0.003041,0.000304
c6in_large,50,100,1,10,4534.600000,3818.000000,6549.000000,4534.600000,0.030085,0.00300
