"warehouseid","time","utilization","max"
1890180489335197184,0,97.396,32
1890180489335197184,1,97.396,32
1890180489335197184,2,97.396,32
1890180489335197184,3,97.396,32
1890180489335197184,4,97.396,32
1890180489335197184,5,97.396,32
1890180489335197184,6,97.396,32
1890180489335197184,7,97.396,32
1890180489335197184,8,97.396,32
1890180489335197184,9,97.396,32
1890180489335197184,10,97.396,32
1890180489335197184,11,97.396,32
1890180489335197184,12,97.396,32
1890180489335197184,13,97.396,32
1890180489335197184,14,97.726,32
1890180489335197184,15,97.726,32
1890180489335197184,16,97.726,32
1890180489335197184,17,97.726,32
1890180489335197184,18,98.073,32
1890180489335197184,19,98.073,32
1890180489335197184,20,98.073,32
1890180489335197184,21,97.726,32
1890180489335197184,22,97.726,32
1890180489335197184,23,97.396,32
1890180489335197184,24,97.396,32
1890180489335197184,25,97.396,32
1890180489335197184,26,97.396,32
1890180489335197184,27,97.396,32
1890180489335197184,28,97.396,32
1890180489335197184,29,97.396,32
1890180489335197184,30,97.396,32
1890180489335197184,31,97.396,32
1890180489335197184,32,97.396,32
1890180489335197184,33,97.396,32
1890180489335197184,34,97.396,32
1890180489335197184,35,97.396,32
1890180489335197184,36,97.396,32
1890180489335197184,37,97.396,32
1890180489335197184,38,97.396,32
1890180489335197184,39,97.396,32
1890180489335197184,40,97.396,32
1890180489335197184,41,97.396,32
1890180489335197184,42,97.396,32
1890180489335197184,43,97.396,32
1890180489335197184,44,97.396,32
1890180489335197184,45,97.396,32
1890180489335197184,46,97.396,32
1890180489335197184,47,97.396,32
1890180489335197184,48,97.396,32
1890180489335197184,49,97.396,32
1890180489335197184,50,97.396,32
1890180489335197184,51,97.396,32
1890180489335197184,52,97.396,32
1890180489335197184,53,97.396,32
1890180489335197184,54,97.396,32
1890180489335197184,55,97.396,32
1890180489335197184,56,97.396,32
1890180489335197184,57,97.396,32
1890180489335197184,58,97.396,32
1890180489335197184,59,97.396,32
1890180489335197184,60,97.396,32
1890180489335197184,61,97.396,32
1890180489335197184,62,97.396,32
1890180489335197184,63,97.396,32
1890180489335197184,64,97.396,32
1890180489335197184,65,97.396,32
1890180489335197184,66,97.396,32
1890180489335197184,67,97.396,32
1890180489335197184,68,97.396,32
1890180489335197184,69,97.396,32
1890180489335197184,70,97.396,32
1890180489335197184,71,97.396,32
1890180489335197184,72,97.396,32
1890180489335197184,73,97.396,32
1890180489335197184,74,97.396,32
1890180489335197184,75,97.396,32
1890180489335197184,76,97.396,32
1890180489335197184,77,97.396,32
1890180489335197184,78,97.396,32
1890180489335197184,79,97.396,32
1890180489335197184,80,97.396,32
1890180489335197184,81,97.396,32
1890180489335197184,82,97.396,32
1890180489335197184,83,97.396,32
1890180489335197184,84,97.396,32
1890180489335197184,85,97.396,32
1890180489335197184,86,97.396,32
1890180489335197184,87,97.396,32
1890180489335197184,88,97.396,32
1890180489335197184,89,97.867,32
1890180489335197184,90,97.867,32
1890180489335197184,91,97.867,32
1890180489335197184,92,97.867,32
1890180489335197184,93,97.867,32
1890180489335197184,94,97.867,32
1890180489335197184,95,97.867,32
1890180489335197184,96,97.956,32
1890180489335197184,97,97.485,32
1890180489335197184,98,97.485,32
1890180489335197184,99,97.485,32
1890180489335197184,100,97.515,32
1890180489335197184,101,97.937,32
1890180489335197184,102,97.848,32
1890180489335197184,103,97.848,32
1890180489335197184,104,97.848,32
1890180489335197184,105,97.848,32
1890180489335197184,106,98.108,32
1890180489335197184,107,98.108,32
1890180489335197184,108,97.848,32
1890180489335197184,109,97.396,32
1890180489335197184,110,97.396,32
1890180489335197184,111,99.458,32
1890180489335197184,112,99.458,32
1890180489335197184,113,99.458,32
1890180489335197184,114,97.396,32
1890180489335197184,115,97.396,32
1890180489335197184,116,97.396,32
1890180489335197184,117,97.396,32
1890180489335197184,118,97.396,32
1890180489335197184,119,97.396,32
1890180489335197184,120,97.396,32
1890180489335197184,121,97.396,32
1890180489335197184,122,97.396,32
1890180489335197184,123,97.396,32
1890180489335197184,124,97.396,32
1890180489335197184,125,97.396,32
1890180489335197184,126,97.396,32
1890180489335197184,127,97.396,32
1890180489335197184,128,97.396,32
1890180489335197184,129,97.396,32
1890180489335197184,130,97.396,32
1890180489335197184,131,97.396,32
1890180489335197184,132,97.396,32
1890180489335197184,133,97.396,32
1890180489335197184,134,97.396,32
